Institution,Collection_Number,Species,State,County,Locality,Latitude,Longitude,Basin,Drainage
FMNH,84106,Siren lacertina,Florida,Alachua,"stream flowing into Orange Lake marsh, 1 mi E Island Grove",29.449999,-82.083327,,
FMNH,84107,Siren lacertina,Florida,Alachua,"stream flowing into Orange Lake marsh, 1 mi E Island Grove",29.449999,-82.083327,,
FMNH,84110,Siren lacertina,Florida,Alachua,"stream flowing into Orange Lake marsh, 1 mi E Island Grove",29.449999,-82.083327,,
FMNH,84119,Siren lacertina,Florida,Alachua,"stream flowing into Orange Lake marsh, 1 mi E Island Grove",29.449999,-82.083327,,
FMNH,84113,Siren lacertina,Florida,Alachua,"stream flowing into Orange Lake marsh, 1 mi E Island Grove",29.449999,-82.083327,,
FMNH,84116,Siren lacertina,Florida,Alachua,"stream flowing into Orange Lake marsh, 1 mi E Island Grove",29.449999,-82.083327,,
FMNH,84100,Siren lacertina,Florida,Alachua,"stream flowing into Orange Lake marsh, 1 mi E Island Grove",29.449999,-82.083327,,
FMNH,84108,Siren lacertina,Florida,Alachua,"stream flowing into Orange Lake marsh, 1 mi E Island Grove",29.449999,-82.083327,,
FMNH,84103,Siren lacertina,Florida,Alachua,"stream flowing into Orange Lake marsh, 1 mi E Island Grove",29.449999,-82.083327,,
FMNH,84112,Siren lacertina,Florida,Alachua,"stream flowing into Orange Lake marsh, 1 mi E Island Grove",29.449999,-82.083327,,
FMNH,84102,Siren lacertina,Florida,Alachua,"stream flowing into Orange Lake marsh, 1 mi E Island Grove",29.449999,-82.083327,,
FMNH,84117,Siren lacertina,Florida,Alachua,"stream flowing into Orange Lake marsh, 1 mi E Island Grove",29.449999,-82.083327,,
FMNH,84114,Siren lacertina,Florida,Alachua,"stream flowing into Orange Lake marsh, 1 mi E Island Grove",29.449999,-82.083327,,
FMNH,84105,Siren lacertina,Florida,Alachua,"stream flowing into Orange Lake marsh, 1 mi E Island Grove",29.449999,-82.083327,,
FMNH,31337,Siren lacertina,Louisiana,,,,,,
FMNH,31336,Siren lacertina,Louisiana,,,,,,
